,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood,Row Mean
BATF,2.2836255006070405,2.7248685146863956,0.6069159418252051,1.5782141654724544,2.484911486910828,0.4709272574751266,3.512226886513957,-1.8416629728328993,-2.473931188332412,2.1801478611584284,-3.158429362604483,-3.539519529959989,-2.4266254735540556,-2.365871442474959,-1.8365012677171204,-1.1584293626044828,-1.0528949484321255,1.6530600171045644,0.2582173895360179,-0.6192705514964515,3.026977066281044,7.286326727090547,-2.265344566520995,1.232660756790275,1.5509006646475232,0.7346554334790051,1.6580972053513716,1.6762674082658897,1.3242345622705314,1.7017708223790449,1.6144742828377008,0.6219932316661231,-1.0028882793248266,-0.36215793967589505,-0.16326791954086414,0.21038886444540292,3.7065305525381174,2.7255230455290276,-1.7958592832197748,0.8188505608954335,-0.3997302464909953,-1.0086822430998008,-0.4860040206329874,2.8710550750866295,1.8698714061777126,1.9301696081500812,3.3659724275933836,5.257764968571387,2.1689628840069286,-0.33278908751912917,1.5420103555366091,1.1322477982984398,2.097610796626422,5.068240861312821,0.8640150500200597
BATF3,1.8151655140875778,2.398897571202473,0.4103411046140874,1.8742067858777987,2.4021764249794826,1.5325663232675124,1.055889758196283,0.962734090595803,1.5646220524369807,2.1249897699786637,-0.7685675915520349,-0.7833899312575583,1.6726516293283848,1.6699338356689606,0.8671057295026546,0.42115596066222344,2.3760124877297413,1.813935070481317,0.8351156152582178,0.5577776713949258,1.6144742828377008,3.8171115727956972,0.12961273813046964,1.611172380044005,1.6266727526059934,0.9388503370060636,0.7110543218120664,1.139469495038796,0.13750352374993502,1.3735090155180074,1.7119353569789215,-0.07400058144377693,-0.6597225952337457,0.7865963618908067,1.0751903141552193,-1.142417044615852,2.8194638212833665,0.23388806017427727,-1.8160371651574052,1.9041950482378747,-0.14082554413356455,-1.7226103011891363,0.5479433112903502,1.1263121303287038,0.03843618165610792,0.03280614508324148,1.5315686088149625,3.400537929583729,0.15962918582122781,0.04264433740849372,1.292192773901891,1.4092551466848378,0.9553128034447055,-0.6873348264416056,0.9394020324169605
BCL6,7.8189016758856384,7.478971805032942,5.863938450423972,6.5233267148616845,6.871597265613853,7.704595347632403,6.955359305242994,4.431622959713292,4.519793486241101,4.22881869049588,6.9954845188775066,6.9565213633331195,4.726286289720674,4.575312330687437,4.006298023900369,4.6904170955324656,4.289465630958221,3.7813597135246595,4.40735275114004,4.299391206126829,7.678776174123884,-0.6826959316380852,5.761817142507141,7.903279342056139,7.502235114856796,6.857980995127572,5.452858964713811,7.086401645880029,5.700717132821476,7.1649069266756875,7.936048963676615,5.73903797911741,4.85124932023306,4.930264245235024,4.974529312483882,5.197314999473818,7.494655612900208,6.566358532693305,8.23697088625934,7.936048963676615,6.682994583681683,4.524502537449162,5.846242565109514,6.475895522426699,7.702865289815186,7.789207575347344,5.284292026394312,7.4371278442728075,5.131342539123261,4.9259994185562235,6.419370342528151,6.960581211353474,7.046032614754208,8.382840144475237,6.037460465983447
BCL6B,4.324090516037983,4.517905553529951,2.3056787432422876,1.813935070481317,2.973060172804084,1.97342759800431,3.1296127381304695,0.2240402742179301,0.4761224198801521,0.6097549621724434,-0.10005101381032824,0.7450221490372645,1.2642361510435471,0.7587295684578627,0.6915341649192002,1.0545012161825607,0.21038886444540292,0.6201171650286842,1.3419857472286159,1.302757715638036,4.121844297876376,-1.67116353577046,-2.6896598793878495,3.5643781685650637,2.4265331381166733,2.023610215182645,2.0426443374084937,2.7640488541862767,1.59741198755465,2.6789733078541698,3.259423152281415,2.321928094887362,2.792438930064638,2.43269221678717,3.9104448615812704,0.4573316254850136,5.107060110203349,1.95345150136626,1.5033487351675041,3.2778360081851545,2.000360628683515,0.2485348361386787,2.8649289722897877,2.4672794804599825,1.9978343327818857,2.4214252960575524,2.387913924385948,3.811471030529836,1.9084286501687873,1.5685185977925435,4.307428525192248,3.7713574089905615,2.667665090051406,-3.816037165157405,1.9021951020857826
BHLHE22,1.2178510968111314,1.5728896684205813,-2.1844245711374275,-1.3040061868900998,0.1775989293277334,-0.3547594873547347,0.7013272574129406,3.431622959713292,2.4388251131756244,0.7128158544373718,4.990954860396993,4.977279923499917,1.8168044748328767,2.296604239088931,3.888499735514123,1.1991226420136007,0.0398402645317911,-0.5187010584524349,1.5835190838514874,0.45943161863729726,1.3868109464722167,4.278356528010724,-0.588573754273535,2.4554916206284685,1.3890160596885093,0.8757800630684881,0.25096157353321874,1.5260688116675876,0.11769504266975457,0.9656919492247047,1.3259619961718523,-2.1975999598851605,-2.795859283219775,-3.395928676331139,-1.4111954329844496,-1.8160371651574052,1.6163576969966904,-0.6393547975397839,-4.184424571137427,2.7211538870083003,-2.237863830098888,-1.1778817252706555,1.2726204546629918,-0.5994620704162712,0.14143279092929553,-0.25325728422226385,1.0093471722592526,0.8131141913462889,-1.1942948151614887,-1.2009126939259964,0.5410191531335592,-0.18442457113742744,2.3399924842477238,,0.5338282680903578
BHLHE40,8.00842862207058,7.992655149386832,6.9313284848937915,7.811856314292545,7.426264754702098,8.628992257142734,8.173427297348619,5.159265883160681,5.528571318870758,5.460251098943846,4.4886435398537845,4.814037647539975,6.138937308958628,6.266599165535096,5.074248523347032,5.118525848935668,5.467605550082998,5.18308946064076,5.671010241278451,5.092968509324141,8.362382216236988,7.378078055995504,5.366846735262642,7.487840033823051,7.45450493755737,6.722466024471091,5.719046503929944,6.158256228811341,8.85735900975864,6.269781238274379,7.132371198732537,6.896029602976752,4.847245307141812,6.815063017192867,7.447083226209652,6.689997971419445,7.772149590784542,7.149239038837029,7.507794640198696,8.179411523174034,7.106955457122829,5.085127180213324,7.432124272641562,7.266786540694901,8.30560578958543,8.473299871141316,5.983449690740123,5.349436051713823,5.387500406480984,4.888012585402829,7.005624549193878,6.656782364218995,8.97627770391054,5.373300196608388,6.628517328458635
CDX2,,,,,,,-4.442222328605074,,,,-3.816037165157405,-3.965784284662087,,,,,,,,,,-5.965784284662087,,,,-2.5563933485243853,5.879583249612783,,,,-5.107803289534515,,,,,-6.643856189774724,,-8.380821783940931,,,-6.380821783940931,0.7865963618908067,,-2.5734668618833267,,,4.900625332536066,-5.965784284662087,-6.158429362604483,-3.1202942337177118,,,,,-3.3444183911018808
CEBPA,6.682292371430833,6.224966365000275,0.9708536543404835,1.269033146455237,2.8972404255747994,0.7172102990195958,2.8231379192985315,1.96236393150695,2.0028825085331214,2.6946573655470862,2.144699025154139,2.1644644993886013,2.2286647948169374,2.1515341413479168,2.2212584296778077,2.2298955008338943,2.6172984828408463,2.18840092460321,3.163337708225467,2.6116445433736617,5.556429415449573,-2.49817873457909,-0.862496476250065,3.6542063779442917,3.5185351389821804,1.7710404144367784,4.154210530588339,1.95345150136626,4.3377110921282895,1.734655433479005,2.0727918181067024,0.0676387168753633,-0.9489759969755331,1.1486087702052201,0.8968530728967068,6.180704840195555,4.07724299893246,3.052937507308091,2.6210555032997394,2.9573574659591806,0.12300395405481979,2.2424500736777015,1.3999913506641812,3.5185351389821804,7.053654417603144,6.920055054806967,3.8278190246173196,3.142740172116082,3.521050736900963,0.6516831806321093,3.1896664466500506,2.226816765049867,4.136273429850582,4.414135532984451,2.662583161220535
CEBPB,7.487036080031899,8.071998580753055,7.350497247084133,7.546508660970806,7.520815085844295,7.8060662260890314,6.998872453994275,3.9011082430145123,4.17951105027151,4.468909092110591,2.409526712810983,2.8024000401148395,4.387500406480984,4.387500406480984,4.238022517825721,4.338067797542616,4.187451054027326,4.224194663970433,4.476381687567235,4.082361969557474,7.2630344058337934,2.7884769118519146,6.9092930858238235,7.603626344986192,7.421644094048272,6.71699089440494,5.8755343515732354,6.984133594540979,5.808642467918064,6.745506265869159,8.038918989292302,5.798050514767515,5.015024705273152,5.205548911173033,5.42240121557753,7.212861116592904,8.18957750090512,6.311702910827363,7.237448995639321,7.424586226251101,7.504223119912845,4.574707046415546,5.635464198167884,6.897240425574799,7.2677230516274225,7.470862199413702,6.008540671702954,7.41193462479118,5.9618548076361595,4.259272487037594,7.086401645880029,7.288173968112302,7.109569509370688,8.520422248526446,6.071002286738185
CEBPD,8.132885253625162,8.67383905599044,6.354910511586791,7.646378699543436,7.967514480800969,8.911391987843459,8.278449458220482,4.104336659814735,4.090853430451113,4.352264173258321,2.9284650782021435,3.2714256760929343,4.457462964648552,4.3197624276692475,4.580748491763774,4.941810579957678,4.133810091106031,4.035623909730721,5.687060688339892,4.937815168803419,8.151270288790165,1.3612068902387298,7.707704233156775,7.825912798784975,8.060966074004773,7.791162888555018,6.78135971352466,7.679480099505446,6.7073591320808825,7.556122817841175,8.497452695977238,6.793115555274348,5.211985606275216,6.714245517666122,6.872213143975773,6.854868383260237,8.262564702088513,7.020702203791045,6.239168878665448,8.935165049603695,8.988826677327951,5.365797502459385,7.682994583681683,8.21091481607392,7.318316841334983,7.442114122419225,6.689299160535892,7.5668151540108965,6.649615459063409,4.750606504835592,7.696272083925863,7.346513733165636,7.970968660521811,7.398316163400203,6.553855683764185
