Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - Cultured fibroblasts,Cells - EBV-transformed lymphocytes,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Kidney - Medulla,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood,Row Mean
2.5737932021239316,2.4875996765907447,2.163192570406254,2.6595898182140516,2.656232603434832,2.5709150638383966,2.6619284022260867,1.7768755858502543,1.9554283835255617,1.9678963443101445,2.675339311023201,2.699952113122944,2.190598830483377,2.2917782532508078,1.786178437260082,2.064796270841727,2.0146147135308246,1.7408480224727692,2.1895652579274647,1.8431797595543817,2.6329419502740823,1.9275900560407504,2.427803018008416,2.8199644163598703,2.8967541577500358,2.546825725404189,2.4329440711476544,2.4856892710415464,2.3792847547421143,2.468796468568351,2.9286730282895137,1.7260243647405018,1.1900219330326474,1.8214829620138713,2.1823097471330484,1.3982229590376007,2.9018011370059136,2.4334265843011016,1.390066500597309,3.0107163785626736,2.7196423498823843,1.3026845193154464,2.7688058195044505,2.781416537234078,2.5662637815567533,2.6392824612665113,2.566933958488719,2.5862496703127054,2.1602386979608093,3.2180045999182574,2.935712696885876,2.862642909953418,2.84547222559946,0.8948917948812615,2.329997854199985
3.4208313377701107,3.2910728361337496,3.0927930907504115,3.501409980277137,3.4961816245887194,3.462804186678152,3.5482297847540116,2.4635662341640017,2.653196489129834,2.6741232127581465,3.514547964384099,3.4834356870494125,2.8854424253915334,3.0152592331939068,2.4816059726790582,2.7688956071887807,2.7393286779338237,2.4221444311496896,2.969627415800423,2.5636302861291456,3.50191696021628,3.1984758783523417,3.5083678915368655,3.6988025110557237,3.7771875918723326,3.397281180645784,3.2872787330943605,3.3525753695726244,3.2861286325606516,3.3355246054600696,3.755243114067438,2.5015162660823154,2.0000238081538875,2.624109895031863,3.07316728716059,2.2131750516954374,3.678080911429322,3.3423518852951015,2.287003772544474,3.830051042218771,3.648945369698416,2.1552991742902092,3.5988164521652513,3.6406515956269803,3.4430285806453367,3.5016433619454537,3.3785513279425095,3.3881407296772674,3.023543585586418,3.949649559136626,3.81467627846149,3.7601443615974635,3.6776713061560464,1.6365518483323216,3.1613648592076324
3.4316469165365446,3.298133610953655,3.089342215659649,3.5219065801747025,3.5168002985436915,3.4881248550691466,3.5649011042772414,2.5369257803391703,2.7543131926124014,2.7634068225975383,3.6401283197408003,3.6139794677700188,3.0127958341183376,3.138413035315898,2.56231482334517,2.889638457602764,2.839208619221731,2.5077748504131465,3.007474347713124,2.599647958025716,3.5086998818207635,3.172600591815747,3.512123037592688,3.7082943790859932,3.8199939486141608,3.4611441139726353,3.287754958577283,3.3794588472297824,3.304165385575317,3.365036587133807,3.789154673862338,2.4947707084673336,1.9705209159474852,2.600988293071226,3.0400700574664,2.111410876906967,3.7237222648517894,3.345778797414511,2.2956370818527985,3.8577811015281895,3.664695309588372,2.12793473687949,3.6606529312943863,3.6508910913076504,3.49513707599275,3.548369259800078,3.3658621953984764,3.4064201228777686,2.9883557510656926,4.033774421307962,3.817341545412936,3.7845373777865663,3.7058247323825304,1.6630183513465944,3.193311083245535
3.8884408987982875,3.702171211696537,3.6233837585627735,3.9430459119476367,3.9816987525710985,4.084617548603402,3.9108162534682913,2.918903792130495,3.0017322382915212,3.049413256547795,3.991855661609031,3.9613038630744417,3.1604353777708662,3.259512093175678,2.9126173495554544,3.1738481882017178,3.0378923167787586,2.90832427491905,3.5481815026747525,3.0530827426408824,3.829172817747707,3.752432633614674,4.078357207706752,4.160256908707785,4.119283890338487,3.923711620383,3.678828871960044,3.8417781404535343,3.5950997394256623,3.8348169211137133,4.043702293270951,2.979419721368737,2.5511728330881893,2.8406444910807163,3.244862439779574,2.76576213061978,4.005818936066697,3.5058871056468965,2.7694704042415967,4.233428018230905,4.125729472032959,2.5760538429742046,4.000902203077976,3.8432697167380048,3.9035718645408513,3.9889314489989456,3.7320341031596476,3.746454697890976,3.3875854771877987,4.482041260191442,4.119893324593282,4.095859200229206,3.9263470673728036,1.9222547426215777,3.56881689887914
2.8716376915363484,2.743776039897932,2.570521610508822,2.978151565952466,2.9945170083677044,2.8944644337097274,3.0180919275912617,2.065520794062932,2.297008337819581,2.3000314123084373,3.1852008282505424,3.175205691317533,2.5419542570926335,2.6430380567368905,2.116612443033102,2.4435242537438815,2.3595873585944798,2.0399725896088263,2.507599440743023,2.147945978500861,3.0284153562539213,2.618003257399704,2.797161411331229,3.1017408428191517,3.2192866593116247,2.8827022179119632,2.794778398690873,2.825227409981792,2.787455548180002,2.792130232079834,3.232535856958312,2.012970308231981,1.543563576964714,2.2957939258041775,2.7124389445221078,1.8511036236334386,3.2328431382115745,2.9224074418161488,1.7847540163039277,3.3001304884170692,3.031856093291113,1.889052901845642,3.370237948023341,3.191630543195768,3.022719671080318,3.1088365994513554,2.9437757327782634,2.915890780785174,2.5793404787222314,3.5569981634878833,3.396915871598774,3.1459804370252042,3.202790494289154,1.1511428426830261,2.7062402394899587
3.489807673914471,3.3979950927478315,3.0460959592049504,3.587753672977835,3.622681472605048,3.655488663710729,3.5008502803596593,2.577488812843408,2.7540916287987924,2.748857791907825,3.62687072160927,3.5472075272369925,2.972104109210797,3.089203422755701,2.596574673686704,2.8608323511640408,2.815455847690141,2.5096439943692177,3.0414747536610127,2.689473526910805,3.4735335651118375,3.379648188957885,3.661528257259443,3.7062921856946143,3.6767946867468986,3.486291820753291,3.1963018130461287,3.4547545558710393,3.2431435716473125,3.4376989070061645,3.794778519878829,2.604277100280104,2.0941059271813685,2.568664250128703,2.9541194702636755,2.143372464058111,3.645026906539948,3.1868866914539944,2.409881410684909,3.9252398815129386,3.685349032673945,2.1167465078808916,3.57668884209663,3.4969735601670355,3.4744351841249124,3.568641962936736,3.2632399265888594,3.275743703169101,2.952030674786389,4.304757116802842,3.7565058982846793,3.7791470875700797,3.6274839119947666,1.732680650887044,3.1996799298408583
3.7160146313724,3.5688158467354105,3.3776098462235606,3.7508406134417847,3.74780851591263,3.7631687382117542,3.7465593782282705,2.6277045197998543,2.812394529133184,2.8385266640778037,3.706480768502074,3.663878346577403,3.0532194727106594,3.173182810564178,2.6628142914505535,2.9349634033278873,2.909709087320329,2.6068988773359694,3.1715938064393154,2.7384648855793023,3.7329507099900026,3.599348717383857,3.851662260641951,3.924858374959979,3.9891653828043503,3.6607005922544062,3.446542286667094,3.6026118105838347,3.5118204579907784,3.5747383898174023,3.9899252868660344,2.763533162570049,2.2814095756024906,2.8539215884288214,3.281743846058885,2.59904659297689,3.925513710661062,3.509789521052272,2.6447949387850653,4.072646965494435,3.916184111674173,2.3427518243213847,3.7657139578534524,3.7838176143057796,3.7092350083700443,3.767541991779239,3.571758601330732,3.6628242485534397,3.2172432482665396,4.168886066886086,3.980630403016356,4.015870358732543,3.8899207625468124,1.9930656457029021,3.3920892045902495
3.3406653910183848,3.210109652785827,3.0957903536443236,3.473973588066215,3.476846968780952,3.5974447878451934,3.4050180673199706,2.504033115136215,2.7662908969057183,2.708289982695553,3.6526623503017994,3.602704526848406,2.936792745525936,3.1013386718434734,2.554659067892043,2.825754019162721,2.7507330796180867,2.473246313453266,2.9876846331397706,2.603696825551123,3.3218169054911693,3.4460510282574366,3.686202313783753,3.705301142447215,3.7444386090168433,3.3978243431848885,3.13645053613683,3.343598077898075,3.207600679391661,3.313220229226862,3.7691040243165235,2.5604472142873895,2.0914149234771577,2.430413047427918,2.8080423712044307,2.228078141282572,3.5954735974281617,3.1596038645019218,2.4447682525431707,3.8234415183445893,3.6611216546696417,2.179938312429141,3.3876202439566394,3.4616717281608156,3.2560033560674713,3.3434547790065134,3.2961133575316217,3.4073752604417358,2.9661768155405106,3.887565390024318,3.663711980425577,3.722523467469441,3.56150862774099,1.8436321365834836,3.1466563512450274
3.733146514644621,3.6124173815355083,3.4638103696018354,3.809566401307684,3.8041147022914568,3.8038845754562307,3.8055175786802393,2.7183941027743717,2.9078922966129896,2.9162917044249763,3.847028765200154,3.779620973894771,3.1600265501853224,3.282307163261349,2.7532423989522843,3.0681232828613676,2.9915950540563756,2.6650646984329294,3.308452680002992,2.840014045724243,3.774145518323722,4.110224615946932,3.9188198464796464,3.9622232908420445,4.025637232923604,3.698517292349114,3.496798184605016,3.6395399888210584,3.548885648029497,3.6240617249143003,4.041738532452664,2.779289210814096,2.3255218605094896,2.8708706599232356,3.3449092293376714,2.455864621319169,3.987135143188893,3.5704553987589747,2.647721360136646,4.136239206770468,3.998458132741675,2.406482609062005,3.901062773127162,3.8323342769819035,3.7611509926874147,3.8283083704954586,3.6741505729250914,3.8369297424649123,3.280820812419334,4.319370539019874,4.072342110521338,4.060576803112722,3.9438181261381957,2.261318706991638,3.470485821759937
3.4441549117206613,3.3407768530352984,3.1330402109050763,3.51331010222349,3.5030560540139684,3.4419631329689846,3.5571865601704515,2.587780795631929,2.827634846944456,2.7789171374448074,3.665318555277487,3.6534123594939594,3.0907749538313882,3.207771594474626,2.6325631843624753,2.931500975603779,2.854124913120025,2.5379069705530775,3.0363043884448118,2.642894436684414,3.509585077497813,3.1988278989008623,3.534064305356869,3.7587514119203784,3.8518212296747754,3.4501707743303824,3.2828072249869176,3.352077877592245,3.313644412359115,3.352326421542085,3.7795161280730483,2.486607606097009,1.9667226665603477,2.638835604821519,3.0538153965458728,2.172561068647798,3.70673373533482,3.276726000282448,2.2741061253968953,3.8634262001476003,3.675539601470113,2.131161743525895,3.6836058141543315,3.6433659424338356,3.4581297638915776,3.5286277754618207,3.3542568913956474,3.470499814964684,3.03278278955057,4.061090231773616,3.790165429409114,3.80014265966699,3.6883314985075444,1.6689098329317484,3.2072246276316925
