ENSG00000223764.2,0.585,1.675,3.801,5.441,2.7,8.534,13.5,0.38,0.412,0.691,0.411,0.568,0.674,0.413,0.91,2.059,0.606,0.593,2.694,0.678,1.495,0.307,1.349,2.296,3.76,3.104,2.554,4.73,1.528,4.636,11.87,5.326,0.307,6.663,25.155,1.537,2.903,0.601,0.146,4.646,0.611,0.325,19.43,18.85,0.84,1.493,3.567,17.2,2.525,4.529,4.715,5.91,4.178,0.034
ENSG00000187634.11,0.476,2.931,3.785,5.717,3.104,7.932,19.06,0.533,0.466,2.218,0.426,0.624,0.832,0.502,0.906,3.641,1.063,1.393,2.443,1.184,1.704,0.085,1.628,6.077,9.004,4.419,4.035,5.286,1.32,5.469,24.38,6.885,0.453,7.537,16.455,1.632,3.584,0.702,0.282,5.292,1.8,0.734,33.27,15.92,0.531,0.794,4.91,17.48,3.423,6.864,5.414,11.29,6.696,0.046
ENSG00000188976.10,52.86,48.19,37.17,55.495,51.9,62.56,71.87,18.345,27.56,25.095,82.57,77.12,40.79,45.14,22.64,28.535,26.835,21.24,27.8,20.96,58.94,94.205,95.02,67.47,78.605,54.33,45.825,55.96,76.51,54.7,75.63,29.43,23.84,29.39,44.965,27.06,55.21,49.15,59.3,69.76,64.865,28.81,56.97,63.03,83.105,90.32,49.57,56.15,42.38,98.67,66.79,77.39,71.255,14.99
ENSG00000187961.13,9.678,8.968,7.891,13.915,13.39,10.74,17.61,3.048,5.059,4.411,24.04,29.49,10.4,7.681,4.097,5.45,4.352,4.021,4.051,3.5,11.72,15.415,16.085,20.66,24.625,12.62,10.09,12.84,17.34,13.04,14.43,4.617,2.819,8.876,12.645,5.683,15.74,12.765,2.228,9.307,3.48,4.772,20.75,17.11,16.26,16.52,12.49,21.24,10.36,30.8,15.23,17.99,18.205,3.581
ENSG00000187583.10,0.56,0.648,1.926,0.744,0.868,0.718,4.221,0.107,0.101,0.121,0.158,0.182,0.154,0.117,0.119,0.118,0.133,0.127,0.119,0.093,3.189,1.894,1.871,0.988,1.112,0.269,0.79,0.458,75.68,0.509,2.557,0.276,0.182,1.48,2.131,0.425,2.295,9.021,0.43,0.485,0.201,0.599,0.601,6.282,72.615,67.4,1.408,2.035,1.138,1.379,1.318,0.722,45.335,0.497
ENSG00000187642.9,0.367,0.399,0.429,0.389,0.61,1.053,1.734,0.144,0.228,0.142,0.116,0.148,0.236,0.223,0.153,0.128,0.131,0.136,0.104,0.092,1.14,0.46,0.427,1.787,0.812,0.321,0.382,0.46,19.87,0.434,1.417,30.08,61.645,0.797,0.858,0.259,0.743,3.298,116.3,0.385,0.221,0.183,0.277,2.612,17.555,17.03,0.534,0.7,0.49,2.661,0.468,0.833,11.41,0.172
ENSG00000272512.1,5.11,3.684,0.602,8.573,8.863,17.9,5.014,2.092,2.831,4.094,1.335,2.253,4.021,2.886,2.103,2.753,3.554,3.808,1.4,2.701,4.565,0.343,0.069,6.724,7.159,2.586,2.276,2.308,2.566,1.781,6.747,4.147,4.428,1.579,6.214,0.719,3.941,2.548,1.535,6.073,1.914,2.648,6.597,6.858,4.614,4.571,1.581,2.021,1.373,1.333,3.505,5.505,5.238,0.094
ENSG00000188290.10,21.79,24.19,2.914,46.63,64.61,98.39,33.05,16.74,20.635,31.46,6.396,8.305,21.86,20.25,11.31,23.965,32.54,28.41,7.749,15.65,28.58,8.01,1.228,34.37,38.23,29.52,16.27,34.79,16.09,32.37,57.41,29.1,17.28,11.66,20.675,3.213,30.49,21.7,4.935,36.23,10.115,7.908,32.66,47.24,21.69,17.95,9.046,16.31,9.41,10,23.28,39.535,32.07,1.205
ENSG00000187608.8,36.6,35.01,13.455,50.76,43.74,50.38,32.98,43.61,25.54,27.365,8.322,8.131,25.62,31.22,28.44,40.82,22.525,31.56,29.8,29.01,29.17,611.45,40.4,46.48,38.81,43.82,28.5,34.35,10.92,34.39,23.51,17.72,13.65,21.64,44.345,28.935,66.87,11.655,6.408,38.92,16.305,5.409,29.53,30.65,10.43,11.54,32.84,57.44,17.27,11.61,34.25,36.285,27.035,28.8
ENSG00000224969.1,0.295,0.228,0.087,0.507,0.452,0.618,0.347,0.339,0.466,0.455,0.094,0.132,0.605,0.511,0.247,0.607,0.729,0.366,0.114,0.255,0.489,0.423,0.095,1.518,1.111,0.341,0.185,0.326,0.17,0.299,1.12,0.241,0.247,0.206,0.53,0.122,0.426,0.205,0.133,0.533,0.242,0.071,0.647,0.879,0.536,0.543,0.175,0.221,0.163,0.585,0.386,0.834,0.564,0
ENSG00000188157.14,18.54,21.48,4.782,25.295,25.775,22.74,20,18.85,22.645,19.735,4.962,8.119,44.82,32.54,15.71,14.755,14.775,18.42,16.23,14.38,30.37,57.03,31.585,34.29,47.905,20.65,19.8,22.85,28.31,19.56,30.28,9.233,6.772,50.31,74.23,13.1,52.31,45.4,2.403,23.89,12.595,23.545,17.26,35.71,34.28,31.45,18.23,12.42,21.09,31.69,97.41,28.13,28.64,0.575
ENSG00000217801.9,0.246,0.422,0.225,0.197,0.285,0.139,0.721,1.647,3.535,2.038,0.341,0.367,4.106,3.842,0.872,1.583,1.511,1.559,0.395,0.355,1.432,12.88,0.245,1.137,1.782,0.325,1.331,0.267,10.17,0.251,0.993,0.241,0.156,2.722,7.507,0.568,1.85,3.564,0.09,0.726,0.256,1.321,3.938,1.828,2.518,2.755,1.446,2.135,1.8,3.375,2.749,0.361,5.005,0.316
ENSG00000237330.2,0.051,0.047,0.047,0.039,0.039,0.04,1.118,0.07,0.074,0.058,0.066,0.066,0.083,0.073,0.071,0.082,0.065,0.061,0.054,0.055,0.514,0.161,0.057,0.238,0.162,0.062,1.462,0.067,33.18,0.068,0.054,0.06,0.062,0.379,1.14,0.052,0.782,2.849,0.051,0.049,0.044,0.097,0.113,0.643,3.871,5.375,0.159,0.05,2.63,0.291,0.084,0.057,14.635,0.019
ENSG00000131591.17,9.296,6.113,5.079,7.598,8.15,7.573,10.29,5.512,6.878,6.623,12.03,12.96,9.729,8.119,6.432,5.307,7.377,5.979,6.27,4.326,11.16,7.617,6.38,12.76,13.55,8.246,9.492,7.935,10.87,7.425,13.4,3.141,1.881,5.858,7.869,4.079,10.605,8.956,1.362,14.37,9.419,2.705,8.825,14.55,13.585,12.96,8.214,11.51,7.669,41.12,13.81,12.655,12.145,2.629
ENSG00000223823.1,0.049,0.09,0.06,0.032,0.034,0.035,0.138,0.076,0.078,0.07,0.05,0.053,0.082,0.076,0.075,0.079,0.069,0.067,0.062,0.073,0.208,0.046,0.028,0.03,0.093,0.061,0.774,0.05,0.077,0.054,0.178,0.071,0.076,0.658,3.841,0.085,0.146,0.674,0.056,0.046,0.042,0.271,0.222,0.362,0.065,0.076,0.852,0.553,1.067,0.159,0.064,0.041,0.041,0.107
ENSG00000207730.3,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,0,0.636,0,0,0,0,0.322,1.245,0,0,0.373,0,0,0,0.384,1.768,0.569,0.896,0.497,0.416,0,0.769,0.377,0,0,0,0
ENSG00000207607.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.486,0,0,0,0,0.281,0.472,0,0,0,0,0,0,0.309,1.515,0.485,0.514,0.369,0.406,0,0.566,0.407,0,0,0,0
ENSG00000198976.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459,0,1.315,0,0,0,0,0.601,3.006,0,0,0.984,0,0,0,0.825,3.237,1.437,0.828,0.539,1.444,0,2.032,0,0.681,0,0,0
ENSG00000162571.13,1.367,1.637,0.075,0.068,0.142,0.107,0.278,0.122,0.083,0.187,0.12,0.128,0.099,0.08,0.197,0.272,0.096,0.103,0.114,0.087,1.55,0.041,0.03,0.224,0.367,0.142,0.324,0.136,0.4,0.138,6.095,0.101,0.167,0.285,0.64,0.069,1.696,0.407,0.185,0.285,0.073,0.186,3.625,0.631,0.407,0.386,0.351,0.129,0.341,80.75,0.474,0.194,0.29,0.034
ENSG00000205231.1,0.566,1.26,0.054,0.035,0.076,0.048,0.105,0.077,0.049,0.117,0.043,0.052,0.061,0.056,0.122,0.124,0.066,0.064,0.062,0.048,0.801,0.025,0.018,0.086,0.117,0.068,0.139,0.055,0.137,0.053,1.097,0.047,0.071,0.099,0.279,0.039,0.547,0.13,0.085,0.13,0.034,0.107,0.758,0.167,0.148,0.122,0.176,0.082,0.159,8.137,0.147,0.078,0.118,0.015
ENSG00000186891.13,1.953,2.167,0.294,0.81,1.09,0.281,1.497,0.889,1.892,0.246,6.362,5.06,2.634,2.753,0.508,0.441,0.221,0.315,0.524,0.349,3.047,16.23,0.137,2.03,2.684,0.496,5.302,0.435,5.084,0.453,1.754,0.304,0.215,0.627,0.9,0.458,5.819,5.935,0.238,0.832,0.367,0.156,5.839,3.371,32.89,27.64,7.86,10.83,1.68,2.1,1.289,0.633,4.009,6.314
ENSG00000186827.10,9.238,15.26,0.777,2.565,2.923,1.8,3.826,0.628,0.696,0.434,1.07,1.257,1.517,1.311,1.006,0.598,0.448,0.466,0.672,0.537,9.479,11,0.117,3.406,4.08,2.025,4.55,2.159,1.342,1.912,3.205,2.54,3.185,2.105,4.304,0.607,13.855,2.683,1.636,2.412,1.956,0.745,3.075,6.221,1.879,1.928,7.265,23.23,2.751,0.967,9.952,3.072,2.285,5.46
ENSG00000078808.16,142.9,136,127.25,256.35,196.7,175.5,147.6,39.445,50.78,48.645,192.4,207.3,71.4,63.23,45.3,54.665,51.625,45.71,63.06,46.01,140.3,97.655,260.75,192.9,191.65,132.1,137.15,132.8,92.39,127.6,172.5,114.3,65.795,79.19,91.55,106.3,164.4,124.25,57.1,153.5,181.95,65.13,152.4,155.8,115.45,120.9,139.8,136.8,118.9,168.8,180.7,182.45,137.4,64.32
ENSG00000176022.4,14.86,14.84,12.75,14.745,16.755,12.65,14.83,10.94,14.345,10.055,13.7,13.08,15.65,18.14,12.5,14.33,11.31,9.185,10.82,8.19,15.97,11.95,29.91,15.78,20.035,12.39,9.853,11.79,10.95,11.66,18.59,7.748,6.409,7.689,13.47,8.791,15.075,10.46,7.085,18.46,15.905,8.316,18.55,16.29,15.665,15.24,11.27,18.98,10.75,13.45,18.09,23.095,13.375,4.418
